GPS Time, Device Time, Longitude, Latitude,GPS Speed(km/h), Horizontal Dilution of Precision, Altitude(m), Bearing, Gravity X(G), Gravity Y(G), Gravity Z(G),Engine Coolant Temperature(°F)
Thu Jul 20 17:13:59 GMT+02:00 2023,20-lip-2023 17:13:59.635,22.54810608,51.2397453,0.0,9.935046195983887,221.9322509765625,0.0,-0.02,0.99,-0.19,85.99999857
Thu Jul 20 17:14:00 GMT+02:00 2023,20-lip-2023 17:14:00.636,22.54810597,51.23974531,0.0,9.935046195983887,221.95440673828125,0.0,-0.02,0.99,-0.19,85.99999857
Thu Jul 20 17:14:01 GMT+02:00 2023,20-lip-2023 17:14:01.636,22.54810607,51.2397454,0.0,9.935046195983887,221.95819091796875,0.0,-0.02,0.99,-0.19,85.99999857
Thu Jul 20 17:14:02 GMT+02:00 2023,20-lip-2023 17:14:02.637,22.54810615,51.23974551,0.0,9.935046195983887,221.9637451171875,0.0,-0.02,0.99,-0.19,87.79999852
Thu Jul 20 17:14:03 GMT+02:00 2023,20-lip-2023 17:14:03.637,22.54810622,51.2397456,0.0,9.935046195983887,221.97052001953125,0.0,-0.02,0.99,-0.19,87.79999852
Thu Jul 20 17:14:04 GMT+02:00 2023,20-lip-2023 17:14:04.637,22.54810619,51.2397457,0.0,9.935046195983887,221.9779052734375,0.0,-0.02,0.99,-0.19,87.79999852
Thu Jul 20 17:14:05 GMT+02:00 2023,20-lip-2023 17:14:05.637,22.5481062,51.23974575,0.0,9.935046195983887,221.9830322265625,0.0,-0.02,0.99,-0.19,87.79999852
Thu Jul 20 17:14:06 GMT+02:00 2023,20-lip-2023 17:14:06.637,22.54810626,51.23974581,0.0,9.935046195983887,221.986328125,0.0,-0.02,0.99,-0.19,87.79999852
Thu Jul 20 17:14:07 GMT+02:00 2023,20-lip-2023 17:14:07.637,22.54810628,51.23974588,0.0,3.7900924682617188,221.9901123046875,0.0,-0.02,0.99,-0.18,87.79999852
Thu Jul 20 17:14:08 GMT+02:00 2023,20-lip-2023 17:14:08.638,22.54810634,51.23974604,0.0,3.7900924682617188,222.0006103515625,0.0,-0.02,0.99,-0.19,87.79999852
Thu Jul 20 17:14:09 GMT+02:00 2023,20-lip-2023 17:14:09.637,22.54810635,51.23974623,0.0,3.7900924682617188,222.0128173828125,0.0,-0.02,0.99,-0.19,87.79999852
Thu Jul 20 17:14:10 GMT+02:00 2023,20-lip-2023 17:14:10.637,22.54810638,51.23974641,0.0,3.7900924682617188,222.0228271484375,0.0,-0.02,0.99,-0.19,89.59999847
Thu Jul 20 17:14:11 GMT+02:00 2023,20-lip-2023 17:14:11.637,22.54810634,51.23974649,0.0,3.7900924682617188,222.02935791015625,0.0,-0.02,0.99,-0.19,89.59999847
Thu Jul 20 17:14:12 GMT+02:00 2023,20-lip-2023 17:14:12.638,22.54810636,51.23974669,0.0,3.7900924682617188,222.039794921875,0.0,-0.02,0.99,-0.19,89.59999847
